CustomerID,Balance,CreditScore,Branch,RiskStatus
CUST001,102258,629,Hyderabad,High Risk
CUST002,254334,681,Mumbai,High Risk
CUST003,400066,770,Chennai,Low Risk
CUST004,63613,762,Chennai,Low Risk
CUST005,264972,676,Hyderabad,High Risk
CUST006,366335,819,Chennai,Low Risk
CUST007,80757,599,Chennai,High Risk
CUST008,393735,634,Hyderabad,High Risk
CUST009,29207,594,Bangalore,High Risk
CUST010,45680,790,Mumbai,Low Risk
CUST011,491424,590,Bangalore,High Risk
CUST012,381927,838,Bangalore,Low Risk
CUST013,110032,718,Hyderabad,Low Risk
CUST014,242843,586,Chennai,High Risk
CUST015,219805,579,Chennai,High Risk
CUST016,359071,774,Bangalore,Low Risk
CUST017,316272,639,Hyderabad,High Risk
CUST018,209340,747,Bangalore,Low Risk
CUST019,388979,840,Mumbai,Low Risk
CUST020,218715,613,Bangalore,High Risk
CUST021,472381,676,Chennai,High Risk
CUST022,428731,586,Chennai,High Risk
CUST023,409276,625,Mumbai,High Risk
CUST024,90803,677,Mumbai,High Risk
CUST025,281863,628,Bangalore,High Risk
CUST026,82147,703,Chennai,Low Risk
CUST027,375447,590,Hyderabad,High Risk
CUST028,136295,656,Chennai,High Risk
CUST029,48446,595,Hyderabad,High Risk
CUST030,161301,756,Hyderabad,Low Risk
CUST031,392830,658,Bangalore,High Risk
CUST032,402183,667,Chennai,High Risk
CUST033,407304,609,Mumbai,High Risk
CUST034,235839,830,Bangalore,Low Risk
CUST035,195081,678,Hyderabad,High Risk
CUST036,30010,588,Bangalore,High Risk
CUST037,216427,633,Mumbai,High Risk
CUST038,498425,686,Chennai,High Risk
CUST039,437867,701,Mumbai,Low Risk
CUST040,161110,562,Bangalore,High Risk
CUST041,373880,827,Hyderabad,Low Risk
CUST042,139756,842,Mumbai,Low Risk
CUST043,384974,826,Chennai,Low Risk
CUST044,167604,756,Mumbai,Low Risk
CUST045,284985,556,Chennai,High Risk
CUST046,469500,593,Bangalore,High Risk
CUST047,33841,678,Chennai,High Risk
CUST048,342754,850,Hyderabad,Low Risk
CUST049,112197,725,Bangalore,Low Risk
CUST050,246122,781,Mumbai,Low Risk
CUST051,321590,809,Chennai,Low Risk
CUST052,138475,560,Chennai,High Risk
CUST053,101597,792,Mumbai,Low Risk
CUST054,389959,566,Chennai,High Risk
CUST055,13857,825,Mumbai,Low Risk
CUST056,472437,777,Hyderabad,Low Risk
CUST057,236134,820,Hyderabad,Low Risk
CUST058,95704,737,Bangalore,Low Risk
CUST059,232251,719,Hyderabad,Low Risk
CUST060,405311,603,Mumbai,High Risk
CUST061,15354,746,Hyderabad,Low Risk
CUST062,69799,552,Mumbai,High Risk
CUST063,460121,574,Mumbai,High Risk
CUST064,394676,827,Chennai,Low Risk
CUST065,428271,594,Hyderabad,High Risk
CUST066,489845,784,Chennai,Low Risk
CUST067,250906,758,Hyderabad,Low Risk
CUST068,224664,746,Chennai,Low Risk
CUST069,20696,845,Mumbai,Low Risk
CUST070,201835,571,Bangalore,High Risk
CUST071,434020,637,Mumbai,High Risk
CUST072,274394,833,Hyderabad,Low Risk
CUST073,340938,805,Hyderabad,Low Risk
CUST074,159204,763,Hyderabad,Low Risk
CUST075,309656,646,Hyderabad,High Risk
CUST076,40046,587,Hyderabad,High Risk
CUST077,194494,638,Bangalore,High Risk
CUST078,225621,601,Chennai,High Risk
CUST079,291661,759,Hyderabad,Low Risk
CUST080,325402,841,Chennai,Low Risk
CUST081,446035,799,Mumbai,Low Risk
CUST082,299522,572,Hyderabad,High Risk
CUST083,433089,573,Hyderabad,High Risk
CUST084,103386,740,Mumbai,Low Risk
CUST085,458979,619,Hyderabad,High Risk
CUST086,367052,610,Chennai,High Risk
CUST087,250757,680,Chennai,High Risk
CUST088,357737,790,Chennai,Low Risk
CUST089,331076,814,Mumbai,Low Risk
CUST090,474410,770,Hyderabad,Low Risk
CUST091,348503,837,Hyderabad,Low Risk
CUST092,209691,729,Mumbai,Low Risk
CUST093,47588,645,Hyderabad,High Risk
CUST094,136854,587,Hyderabad,High Risk
CUST095,55075,725,Bangalore,Low Risk
CUST096,87232,696,Mumbai,High Risk
CUST097,455480,650,Mumbai,High Risk
CUST098,171360,682,Chennai,High Risk
CUST099,128412,721,Mumbai,Low Risk
CUST100,372262,780,Bangalore,Low Risk
